league,season,team,players_used,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,url
GER-Bundesliga,2526,Hamburger SV,32,34,78,8,5,402,416,59,535,300,304,,,0,/en/squads/26790c6a/2025-2026/Hamburger-SV-Stats
GER-Bundesliga,2526,Heidenheim,30,34,48,1,0,334,341,64,578,323,322,,,1,/en/squads/18d9d2a7/2025-2026/Heidenheim-Stats
GER-Bundesliga,2526,Hoffenheim,26,34,73,3,1,474,291,59,698,274,321,,,0,/en/squads/033ea6b8/2025-2026/Hoffenheim-Stats
GER-Bundesliga,2526,Köln,27,34,64,3,1,283,332,61,639,275,311,,,0,/en/squads/bc357bf7/2025-2026/Koln-Stats
GER-Bundesliga,2526,Leverkusen,28,34,70,2,2,292,358,42,619,255,290,,,1,/en/squads/c7a9f859/2025-2026/Leverkusen-Stats
GER-Bundesliga,2526,Mainz 05,30,34,70,5,1,373,326,79,684,346,322,,,2,/en/squads/a224b06a/2025-2026/Mainz-05-Stats
GER-Bundesliga,2526,RB Leipzig,29,34,52,0,0,315,335,48,574,302,346,,,1,/en/squads/acbb6a5b/2025-2026/RB-Leipzig-Stats
GER-Bundesliga,2526,St Pauli,24,34,54,2,1,327,297,66,586,317,358,,,1,/en/squads/54864664/2025-2026/St-Pauli-Stats
GER-Bundesliga,2526,Stuttgart,26,34,63,2,0,327,401,69,680,283,294,,,1,/en/squads/598bc722/2025-2026/Stuttgart-Stats
GER-Bundesliga,2526,Union Berlin,26,34,71,3,0,417,326,55,674,289,296,,,1,/en/squads/7a41008f/2025-2026/Union-Berlin-Stats
GER-Bundesliga,2526,Werder Bremen,28,34,77,5,3,337,304,60,611,320,354,,,2,/en/squads/62add3bf/2025-2026/Werder-Bremen-Stats
GER-Bundesliga,2526,Wolfsburg,30,34,68,3,2,392,291,40,520,294,348,,,4,/en/squads/4eaa11d7/2025-2026/Wolfsburg-Stats
NED-Eredivisie,2425,AZ Alkmaar,30,34,56,4,1,354,348,44,532,302,359,1.0,3.0,2,/en/squads/3986b791/2024-2025/AZ-Alkmaar-Stats
NED-Eredivisie,2425,Ajax,37,34,53,1,0,347,394,53,566,276,254,7.0,0.0,1,/en/squads/19c3f8c4/2024-2025/Ajax-Stats
NED-Eredivisie,2425,Almere City,33,34,53,3,0,360,287,31,630,334,333,0.0,0.0,4,/en/squads/2b41acb5/2024-2025/Almere-City-Stats
NED-Eredivisie,2425,Feyenoord,40,34,46,2,1,284,405,39,634,264,328,3.0,3.0,0,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
NED-Eredivisie,2425,Fortuna Sittard,30,34,69,3,2,397,355,41,604,327,344,6.0,4.0,0,/en/squads/bd08295c/2024-2025/Fortuna-Sittard-Stats
NED-Eredivisie,2425,Go Ahead Eagles,28,34,45,2,1,304,335,48,560,187,274,2.0,4.0,1,/en/squads/e33d6108/2024-2025/Go-Ahead-Eagles-Stats
NED-Eredivisie,2425,Groningen,29,34,58,6,2,334,340,33,466,294,385,4.0,6.0,2,/en/squads/bec05adb/2024-2025/Groningen-Stats
NED-Eredivisie,2425,Heerenveen,30,34,45,2,0,400,334,47,565,310,380,6.0,4.0,2,/en/squads/193ff7aa/2024-2025/Heerenveen-Stats
NED-Eredivisie,2425,Heracles Almelo,24,34,58,2,1,429,347,47,669,303,373,4.0,6.0,4,/en/squads/c882b88e/2024-2025/Heracles-Almelo-Stats
NED-Eredivisie,2425,NAC Breda,30,34,63,5,1,354,326,29,561,300,365,1.0,7.0,1,/en/squads/8ed04be8/2024-2025/NAC-Breda-Stats
NED-Eredivisie,2425,NEC Nijmegen,25,34,51,3,1,368,352,33,723,284,352,2.0,2.0,4,/en/squads/fc629994/2024-2025/NEC-Nijmegen-Stats
NED-Eredivisie,2425,PSV,32,34,34,1,0,283,264,43,902,243,350,2.0,2.0,0,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
NED-Eredivisie,2425,RKC Waalwijk,29,34,43,7,3,313,283,44,580,334,378,1.0,8.0,2,/en/squads/bb14adb3/2024-2025/RKC-Waalwijk-Stats
NED-Eredivisie,2425,Sparta R.,29,34,50,3,1,326,286,45,682,316,353,2.0,5.0,2,/en/squads/146a68ce/2024-2025/Sparta-Rotterdam-Stats
NED-Eredivisie,2425,Twente,29,34,44,1,0,349,344,58,694,265,352,5.0,2.0,0,/en/squads/a1f721d3/2024-2025/Twente-Stats
NED-Eredivisie,2425,Utrecht,27,34,48,1,0,352,367,38,707,330,400,0.0,4.0,1,/en/squads/2a428619/2024-2025/Utrecht-Stats
NED-Eredivisie,2425,Willem II,26,34,61,3,1,345,286,36,566,297,332,3.0,6.0,3,/en/squads/f0479d7b/2024-2025/Willem-II-Stats
NED-Eredivisie,2425,Zwolle,26,34,52,3,2,391,355,39,481,315,399,3.0,6.0,1,/en/squads/e3db180b/2024-2025/Zwolle-Stats
NED-Eredivisie,2526,AZ Alkmaar,34,34,63,1,1,347,373,39,486,258,372,,,2,/en/squads/3986b791/2025-2026/AZ-Alkmaar-Stats
NED-Eredivisie,2526,Ajax,33,34,58,2,1,340,386,43,541,318,344,,,2,/en/squads/19c3f8c4/2025-2026/Ajax-Stats
NED-Eredivisie,2526,Excelsior,31,34,42,3,1,418,276,35,567,307,298,,,0,/en/squads/740cb7d4/2025-2026/Excelsior-Stats
NED-Eredivisie,2526,Feyenoord,36,34,54,4,2,332,387,40,679,305,325,,,0,/en/squads/fb4ca611/2025-2026/Feyenoord-Stats
NED-Eredivisie,2526,Fortuna Sittard,33,34,69,3,0,418,375,52,554,357,375,,,3,/en/squads/bd08295c/2025-2026/Fortuna-Sittard-Stats
NED-Eredivisie,2526,Go Ahead Eagles,29,34,53,5,3,314,332,49,774,254,254,,,3,/en/squads/e33d6108/2025-2026/Go-Ahead-Eagles-Stats
NED-Eredivisie,2526,Groningen,25,34,57,2,2,364,329,57,633,245,325,,,1,/en/squads/bec05adb/2025-2026/Groningen-Stats
NED-Eredivisie,2526,Heerenveen,28,34,53,2,2,375,306,43,572,272,322,,,1,/en/squads/193ff7aa/2025-2026/Heerenveen-Stats
NED-Eredivisie,2526,Heracles Almelo,32,34,70,4,2,459,360,40,618,264,345,,,1,/en/squads/c882b88e/2025-2026/Heracles-Almelo-Stats
NED-Eredivisie,2526,NAC Breda,29,34,54,7,1,368,421,47,761,264,341,,,1,/en/squads/8ed04be8/2025-2026/NAC-Breda-Stats
NED-Eredivisie,2526,NEC Nijmegen,32,34,61,3,1,405,407,68,725,256,333,,,0,/en/squads/fc629994/2025-2026/NEC-Nijmegen-Stats
NED-Eredivisie,2526,PSV,30,34,50,2,1,349,269,51,713,279,361,,,0,/en/squads/e334d850/2025-2026/PSV-Eindhoven-Stats
NED-Eredivisie,2526,Sparta R.,30,34,65,2,1,335,351,36,636,296,352,,,3,/en/squads/146a68ce/2025-2026/Sparta-Rotterdam-Stats
NED-Eredivisie,2526,Telstar,28,34,44,2,0,384,335,64,572,293,356,,,1,/en/squads/9babc1f9/2025-2026/Telstar-Stats
NED-Eredivisie,2526,Twente,26,34,44,3,1,362,320,31,589,254,372,,,2,/en/squads/a1f721d3/2025-2026/Twente-Stats
NED-Eredivisie,2526,Utrecht,32,34,50,2,2,363,356,37,663,309,326,,,0,/en/squads/2a428619/2025-2026/Utrecht-Stats
NED-Eredivisie,2526,Volendam,32,34,52,1,0,332,387,45,537,282,355,,,2,/en/squads/8783f4ee/2025-2026/Volendam-Stats
NED-Eredivisie,2526,Zwolle,30,34,55,5,2,392,387,54,383,353,361,,,1,/en/squads/e3db180b/2025-2026/Zwolle-Stats
POR-Primeira Liga,2425,AVS Futebol,33,34,106,5,4,480,419,47,538,303,365,5.0,4.0,1,/en/squads/e5ce5a65/2024-2025/AVS-Futebol-Stats
POR-Primeira Liga,2425,Arouca,28,34,89,5,2,497,434,64,615,297,350,9.0,9.0,2,/en/squads/0d36ddd4/2024-2025/Arouca-Stats
POR-Primeira Liga,2425,Benfica,35,34,64,0,0,400,389,86,716,311,377,8.0,4.0,0,/en/squads/a77c513e/2024-2025/Benfica-Stats
POR-Primeira Liga,2425,Boavista,32,34,92,10,3,433,473,87,578,313,329,4.0,6.0,3,/en/squads/37b7e9e2/Boavista-Stats
POR-Primeira Liga,2425,Braga,35,34,69,4,2,483,400,68,747,280,323,5.0,3.0,1,/en/squads/69d84c29/2024-2025/Braga-Stats
POR-Primeira Liga,2425,Casa Pia,32,34,92,5,2,504,391,41,511,297,303,4.0,8.0,1,/en/squads/b20a2b76/2024-2025/Casa-Pia-Stats
POR-Primeira Liga,2425,Estoril,28,34,83,2,0,540,459,41,456,324,327,5.0,8.0,0,/en/squads/00c41b75/2024-2025/Estoril-Stats
POR-Primeira Liga,2425,Estrela,40,34,102,3,2,521,534,69,511,306,373,3.0,7.0,2,/en/squads/0cb9f756/2024-2025/Estrela-Stats
POR-Primeira Liga,2425,Famalicão,31,34,76,2,0,476,530,41,632,296,353,5.0,5.0,1,/en/squads/2de656d5/2024-2025/Famalicao-Stats
POR-Primeira Liga,2425,Farense,37,34,91,4,2,517,445,66,629,327,365,3.0,8.0,2,/en/squads/489c9cd9/Farense-Stats
POR-Primeira Liga,2425,Gil Vicente,34,34,72,5,2,394,516,50,451,310,341,2.0,7.0,1,/en/squads/6a329209/2024-2025/Gil-Vicente-FC-Stats
POR-Primeira Liga,2425,Moreirense,31,34,84,2,1,497,518,56,463,283,311,2.0,5.0,0,/en/squads/e4502862/2024-2025/Moreirense-Stats
POR-Primeira Liga,2425,Nacional,31,34,83,5,3,458,446,56,608,287,383,4.0,11.0,0,/en/squads/5c9eb756/2024-2025/Nacional-Stats
POR-Primeira Liga,2425,Porto,32,34,92,4,1,483,438,48,671,253,275,8.0,8.0,1,/en/squads/5e876ee6/2024-2025/Porto-Stats
POR-Primeira Liga,2425,Rio Ave,36,34,79,5,2,458,453,93,469,312,366,3.0,3.0,5,/en/squads/eea856da/2024-2025/Rio-Ave-Stats
POR-Primeira Liga,2425,Santa Clara,25,34,117,5,4,565,426,63,522,288,326,4.0,6.0,0,/en/squads/f5b64cb1/2024-2025/Santa-Clara-Stats
POR-Primeira Liga,2425,Sporting CP,34,34,68,6,2,391,470,37,629,252,332,8.0,4.0,2,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats
POR-Primeira Liga,2425,Vit. Guimarães,31,34,86,1,0,497,464,55,831,267,332,3.0,7.0,0,/en/squads/3f319bc9/2024-2025/Vitoria-Guimaraes-Stats
POR-Primeira Liga,2526,AVS Futebol,34,34,78,5,2,468,351,50,535,297,362,,,0,/en/squads/e5ce5a65/AVS-Futebol-Stats
POR-Primeira Liga,2526,Alverca,34,34,74,4,3,426,449,39,540,264,348,,,2,/en/squads/8bbf8a25/2025-2026/Alverca-Stats
POR-Primeira Liga,2526,Arouca,32,34,96,10,5,470,394,49,569,286,318,,,3,/en/squads/0d36ddd4/2025-2026/Arouca-Stats
POR-Primeira Liga,2526,Benfica,36,34,66,4,1,379,516,52,689,283,341,,,1,/en/squads/a77c513e/2025-2026/Benfica-Stats
POR-Primeira Liga,2526,Braga,34,34,76,3,3,399,385,42,551,253,279,,,1,/en/squads/69d84c29/2025-2026/Braga-Stats
POR-Primeira Liga,2526,Casa Pia,34,34,98,4,1,549,444,50,539,280,322,,,1,/en/squads/b20a2b76/2025-2026/Casa-Pia-Stats
POR-Primeira Liga,2526,Estoril,27,34,85,0,0,440,416,44,530,311,316,,,1,/en/squads/00c41b75/2025-2026/Estoril-Stats
POR-Primeira Liga,2526,Estrela,38,34,90,5,2,491,498,60,493,319,350,,,1,/en/squads/0cb9f756/2025-2026/Estrela-Stats
POR-Primeira Liga,2526,Famalicão,25,34,87,2,1,537,542,38,716,267,373,,,1,/en/squads/2de656d5/2025-2026/Famalicao-Stats
POR-Primeira Liga,2526,Gil Vicente,29,34,81,4,1,460,471,49,643,258,318,,,1,/en/squads/6a329209/2025-2026/Gil-Vicente-FC-Stats
POR-Primeira Liga,2526,Moreirense,31,34,87,4,1,474,504,38,503,284,301,,,0,/en/squads/e4502862/2025-2026/Moreirense-Stats
POR-Primeira Liga,2526,Nacional,27,34,102,7,5,507,401,46,603,288,342,,,1,/en/squads/5c9eb756/2025-2026/Nacional-Stats
POR-Primeira Liga,2526,Porto,33,34,80,3,2,473,407,72,606,310,323,,,1,/en/squads/5e876ee6/2025-2026/Porto-Stats
POR-Primeira Liga,2526,Rio Ave,35,34,89,6,5,438,469,47,477,328,336,,,3,/en/squads/eea856da/2025-2026/Rio-Ave-Stats
POR-Primeira Liga,2526,Santa Clara,34,34,95,4,3,505,473,57,635,286,334,,,3,/en/squads/f5b64cb1/2025-2026/Santa-Clara-Stats
POR-Primeira Liga,2526,Sporting CP,32,34,72,3,0,416,445,47,629,227,337,,,2,/en/squads/13dc44fd/2025-2026/Sporting-CP-Stats
POR-Primeira Liga,2526,Tondela,30,34,90,3,1,492,396,69,630,301,377,,,3,/en/squads/e442fa76/Tondela-Stats
POR-Primeira Liga,2526,Vit. Guimarães,34,34,78,3,1,494,485,62,691,296,318,,,3,/en/squads/3f319bc9/2025-2026/Vitoria-Guimaraes-Stats
